project,repo_name,month,outcome,author_association,author_pseud,size_lines,files_touched,review_count,hours_to_first_review,hours_to_merge
moby,buildkit,2025-09-01,merged,MEMBER,af5c6dc4c,157,8,2,86,87
moby,buildkit,2025-09-01,merged,COLLABORATOR,a45bdb06c,106,2,2,385,387
moby,buildkit,2025-09-01,merged,MEMBER,afdafcebc,51,6,5,0,79
moby,buildkit,2025-10-01,closed,MEMBER,afdafcebc,66,4,0,,
moby,buildkit,2025-10-01,merged,MEMBER,ad28e9a8f,5,1,1,30,30
moby,buildkit,2025-10-01,merged,MEMBER,af5c6dc4c,35,1,1,6,6
moby,buildkit,2025-10-01,merged,MEMBER,af5c6dc4c,545,18,1,15,18
moby,buildkit,2025-10-01,merged,COLLABORATOR,a07eecb9b,74,1,4,22,25
moby,buildkit,2025-10-01,merged,CONTRIBUTOR,a619ab9b4,8,3,1,13,13
moby,buildkit,2025-11-01,merged,MEMBER,ad28e9a8f,75,1,1,4,4
moby,buildkit,2025-11-01,closed,NONE,a5d67f959,4599,377,0,,
moby,buildkit,2025-11-01,merged,COLLABORATOR,a45bdb06c,14,2,1,25,25
moby,buildkit,2025-11-01,merged,MEMBER,afdafcebc,60,9,1,100,100
moby,buildkit,2025-11-01,merged,CONTRIBUTOR,a9dded171,111,3,3,59,163
moby,buildkit,2025-11-01,merged,CONTRIBUTOR,a365eacd4,2,1,2,10,12
moby,buildkit,2025-11-01,merged,CONTRIBUTOR,abd977119,2,1,2,29,32
moby,buildkit,2025-11-01,merged,MEMBER,afdafcebc,26378,54,1,82,82
moby,buildkit,2025-11-01,merged,MEMBER,afdafcebc,10341,9,3,107,190
moby,buildkit,2025-12-01,merged,MEMBER,af5c6dc4c,9,1,1,144,146
moby,buildkit,2025-12-01,merged,MEMBER,af5c6dc4c,193250,1143,6,210,748
moby,buildkit,2025-12-01,closed,NONE,aebb33b59,6,1,0,,
moby,buildkit,2025-12-01,merged,CONTRIBUTOR,af0a9f58c,10,1,2,18,99
moby,buildkit,2025-12-01,merged,MEMBER,afdafcebc,12,2,2,0,78
moby,buildkit,2026-01-01,merged,CONTRIBUTOR,a3b78359e,1,1,1,26,405
moby,buildkit,2026-01-01,closed,CONTRIBUTOR,a619ab9b4,6,2,0,,
moby,buildkit,2026-01-01,merged,MEMBER,af5c6dc4c,3567,105,1,8,8
moby,buildkit,2026-01-01,closed,NONE,ae2c64148,1,1,0,,
moby,buildkit,2026-01-01,merged,MEMBER,af5c6dc4c,23,1,1,31,31
moby,buildkit,2026-03-01,merged,MEMBER,afdafcebc,6001,141,1,3,3
moby,buildkit,2026-03-01,merged,MEMBER,af5c6dc4c,2306,8,1,8,15
moby,buildkit,2026-03-01,merged,CONTRIBUTOR,a619ab9b4,8,4,1,8,8
moby,buildkit,2026-03-01,open,NONE,a23982f05,17,1,5,4,
moby,buildkit,2026-03-01,merged,MEMBER,af5c6dc4c,132,5,1,5,86
moby,buildkit,2026-03-01,merged,MEMBER,af5c6dc4c,541,16,3,6,11
moby,buildkit,2026-03-01,merged,CONTRIBUTOR,a619ab9b4,8,4,1,9,9
moby,buildkit,2026-04-01,closed,NONE,a111e007b,6,1,0,,
moby,buildkit,2026-04-01,merged,CONTRIBUTOR,a619ab9b4,4,2,1,9,9
moby,buildkit,2026-04-01,merged,MEMBER,ad28e9a8f,94,3,3,0,24
moby,buildkit,2026-04-01,merged,CONTRIBUTOR,a619ab9b4,6,2,1,85,85
moby,buildkit,2026-04-01,merged,MEMBER,afdafcebc,6,1,1,5,5
moby,buildkit,2026-04-01,merged,MEMBER,afdafcebc,2,1,1,0,6
moby,buildkit,2026-04-01,merged,CONTRIBUTOR,a0d41a478,8,1,3,9,32
moby,buildkit,2026-04-01,open,MEMBER,afdafcebc,11,1,0,,
moby,buildkit,2026-04-01,merged,MEMBER,af5c6dc4c,9,1,1,106,106
moby,buildkit,2026-04-01,merged,COLLABORATOR,a74e1ba08,61,1,5,1,107
moby,buildkit,2026-04-01,open,NONE,ad39b22b6,397,13,0,,
moby,buildkit,2026-04-01,merged,MEMBER,af5c6dc4c,371,13,4,103,299
moby,buildkit,2026-04-01,merged,MEMBER,ad28e9a8f,205,4,9,4,169
moby,buildkit,2026-04-01,closed,NONE,ac13d4c6f,118,4,0,,
moby,buildkit,2026-05-01,merged,MEMBER,af5c6dc4c,16,1,1,59,89
moby,buildkit,2026-05-01,merged,MEMBER,af5c6dc4c,30,1,2,28,36
moby,buildkit,2026-05-01,merged,CONTRIBUTOR,a619ab9b4,41,6,1,128,128
moby,buildkit,2026-06-01,merged,MEMBER,af5c6dc4c,12,1,1,1,21
moby,buildkit,2026-06-01,merged,MEMBER,af5c6dc4c,154,7,3,13,158
moby,buildkit,2026-06-01,merged,CONTRIBUTOR,a619ab9b4,18,7,1,9,9
moby,buildkit,2026-06-01,merged,MEMBER,ad28e9a8f,4,1,2,2,6
moby,buildkit,2026-06-01,merged,CONTRIBUTOR,a4ccc6c41,47,3,1,2,3
moby,buildkit,2026-06-01,merged,CONTRIBUTOR,adbc919ee,10,2,5,54,106
moby,buildkit,2026-06-01,merged,MEMBER,afdafcebc,2,1,1,24,24
moby,buildkit,2026-06-01,merged,MEMBER,afdafcebc,1054,41,3,0,1
moby,buildkit,2026-06-01,closed,CONTRIBUTOR,a619ab9b4,2,1,0,,
moby,buildkit,2026-06-01,closed,CONTRIBUTOR,a619ab9b4,12,6,1,81,
moby,buildkit,2026-06-01,merged,MEMBER,af5c6dc4c,149,5,1,74,88
moby,buildkit,2026-06-01,merged,MEMBER,ad28e9a8f,59,2,3,62,534
moby,buildkit,2026-07-01,closed,MEMBER,ad28e9a8f,93,2,1,133,
moby,buildkit,2026-07-01,merged,CONTRIBUTOR,a619ab9b4,2,1,1,13,13
moby,buildkit,2026-07-01,merged,CONTRIBUTOR,a619ab9b4,4,2,1,14,14
moby,buildkit,2026-07-01,merged,CONTRIBUTOR,a33dc514a,12,2,2,0,287
moby,buildkit,2026-07-01,merged,MEMBER,ad28e9a8f,12,1,1,1,2
moby,buildkit,2026-07-01,merged,MEMBER,ad28e9a8f,168,5,4,15,58
moby,buildkit,2026-07-01,merged,CONTRIBUTOR,acea902cb,45,2,1,86,87
moby,buildkit,2026-07-01,open,CONTRIBUTOR,a4e052ecd,57,2,3,25,
moby,buildkit,2026-07-01,closed,NONE,ae61bc7e5,158,3,1,303,
moby,moby,2023-08-01,merged,MEMBER,a1fe9e3d3,35,4,2,2,71
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,93,4,3,0,54
moby,moby,2023-08-01,merged,CONTRIBUTOR,a083eacd8,38,2,7,70,3991
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,40,4,9,1,6
moby,moby,2023-08-01,merged,CONTRIBUTOR,a9a258f36,21,1,5,1,23
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,288,4,4,11,13
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,994,39,1,3,4
moby,moby,2023-08-01,closed,CONTRIBUTOR,a2430ff80,131,1,3,79,
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,80,10,1,260,260
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,65,2,1,42,43
moby,moby,2023-08-01,open,MEMBER,afdafcebc,26,2,1,367,
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,96,1,1,164,165
moby,moby,2023-08-01,merged,MEMBER,aef3ad25d,316,19,15,0,626
moby,moby,2023-08-01,merged,MEMBER,ad28e9a8f,30,3,4,3,19
moby,moby,2023-08-01,merged,CONTRIBUTOR,a9a258f36,131,3,2,0,69
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,63,3,2,2496,2498
moby,moby,2023-08-01,open,MEMBER,afdafcebc,212,4,1,55,
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,2569,133,1,193,193
moby,moby,2023-08-01,closed,CONTRIBUTOR,a4fc3a44d,36,5,0,,
moby,moby,2023-08-01,merged,CONTRIBUTOR,a9a258f36,328,7,8,0,172
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,430,5,15,643,647
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,36,36,2,0,7
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,55,4,5,106,117
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,56,14,1,0,1
moby,moby,2023-08-01,merged,MEMBER,afdafcebc,84,1,1,14,16
moby,moby,2023-08-01,merged,CONTRIBUTOR,a9a258f36,209,3,36,23,272
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,246,8,2,876,877
moby,moby,2023-09-01,merged,MEMBER,a59c45b6c,50,1,4,1,23
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,28,4,2,10,12
moby,moby,2023-09-01,closed,MEMBER,afdafcebc,5213,111,1,4,
moby,moby,2023-09-01,merged,CONTRIBUTOR,aca8e9c30,178,13,17,8,2759
moby,moby,2023-09-01,closed,MEMBER,a3889aa12,19,1,0,,
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,18,1,1,4,4
moby,moby,2023-09-01,merged,MEMBER,aef3ad25d,82,5,9,0,198
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,27,2,3,0,141
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,163,18,2,25,35
moby,moby,2023-09-01,merged,CONTRIBUTOR,a9a258f36,1,1,9,0,6
moby,moby,2023-09-01,merged,CONTRIBUTOR,a9a258f36,31,2,12,0,3365
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,37,1,1,238,239
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,10,5,1,3,3
moby,moby,2023-09-01,open,MEMBER,afdafcebc,519,24,12,18,
moby,moby,2023-09-01,open,CONTRIBUTOR,ab2b29f8d,29,2,6,14,
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,1144,112,4,663,668
moby,moby,2023-09-01,merged,MEMBER,a59c45b6c,8,1,6,1,50
moby,moby,2023-09-01,merged,MEMBER,afdafcebc,10,2,1,2,2
moby,moby,2023-10-01,merged,CONTRIBUTOR,a9a258f36,1,1,1,0,3
moby,moby,2023-10-01,merged,CONTRIBUTOR,ab2b29f8d,174,2,7,21,165
moby,moby,2023-10-01,closed,MEMBER,afdafcebc,1857,45,1,0,
moby,moby,2023-10-01,merged,CONTRIBUTOR,a76c8e919,154,6,4,202,397
moby,moby,2023-10-01,open,MEMBER,a1fe9e3d3,10,1,0,,
moby,moby,2023-10-01,merged,MEMBER,afdafcebc,33,1,2,3,56
moby,moby,2023-10-01,closed,MEMBER,aef3ad25d,1202,20,0,,
moby,moby,2023-10-01,merged,CONTRIBUTOR,a76c8e919,43,2,2,11,115
moby,moby,2023-10-01,merged,MEMBER,a59c45b6c,9,1,10,1,3
moby,moby,2023-10-01,merged,CONTRIBUTOR,a76c8e919,106,6,3,13,71
moby,moby,2023-10-01,merged,MEMBER,afdafcebc,7,1,2,2,20
moby,moby,2023-10-01,merged,CONTRIBUTOR,a76c8e919,17,10,3,5,70
moby,moby,2023-11-01,merged,MEMBER,afdafcebc,6,3,1,0,22
moby,moby,2023-11-01,merged,CONTRIBUTOR,ae82ee39e,4,2,9,3,24
moby,moby,2023-11-01,merged,MEMBER,a3889aa12,20,3,2,10,14
moby,moby,2023-11-01,merged,MEMBER,a59c45b6c,55,4,20,3,1854
moby,moby,2023-11-01,merged,MEMBER,afdafcebc,344,7,3,0,1
moby,moby,2023-11-01,merged,MEMBER,a3889aa12,1262,15,21,127,662
moby,moby,2023-11-01,merged,MEMBER,afdafcebc,21,1,1,318,318
moby,moby,2023-11-01,merged,MEMBER,afdafcebc,54,1,7,0,22
moby,moby,2023-11-01,merged,CONTRIBUTOR,a9a258f36,50,1,7,1,28
moby,moby,2023-12-01,merged,CONTRIBUTOR,a9a258f36,96,1,4,0,627
moby,moby,2023-12-01,merged,CONTRIBUTOR,a9a258f36,11,1,2,3,14
moby,moby,2023-12-01,open,MEMBER,a3889aa12,2,1,0,,
moby,moby,2023-12-01,closed,CONTRIBUTOR,a9a258f36,47,3,0,,
moby,moby,2023-12-01,merged,MEMBER,afdafcebc,3540,10,6,2,11208
moby,moby,2023-12-01,merged,MEMBER,afdafcebc,4,2,1,0,1
moby,moby,2023-12-01,merged,MEMBER,afdafcebc,45,7,1,22,41
moby,moby,2023-12-01,merged,MEMBER,afdafcebc,1633,407,1,1,1
moby,moby,2024-01-01,merged,CONTRIBUTOR,af02bd9fa,222,6,22,63,158
