project,repo_name,month,prs_opened,prs_merged,share_merged,median_hours_to_merge,median_size_lines,active_authors
moby,moby,2024-05-01,57,47,0.825,77,43,16
moby,moby,2024-06-01,162,142,0.877,8.5,46,20
moby,moby,2024-07-01,114,97,0.851,15,25,15
moby,moby,2024-08-01,85,70,0.824,25.5,83,17
moby,moby,2024-09-01,110,96,0.873,9.5,11,24
moby,moby,2024-10-01,189,163,0.862,21,39,24
moby,moby,2024-11-01,145,124,0.855,7,38,19
moby,moby,2024-12-01,137,126,0.920,15,35,22
moby,moby,2025-01-01,158,150,0.949,8,33,17
moby,moby,2025-02-01,108,95,0.880,23,41.5,16
moby,moby,2025-03-01,95,80,0.842,29.5,45,14
moby,moby,2025-04-01,129,109,0.845,44,89,26
moby,moby,2025-05-01,143,115,0.804,24,33,31
moby,moby,2025-06-01,114,97,0.851,43,37,25
moby,moby,2025-07-01,240,205,0.854,17,52.5,27
moby,moby,2025-08-01,214,171,0.799,21,57,23
moby,moby,2025-09-01,156,141,0.904,12,59.5,20
moby,moby,2025-10-01,242,208,0.860,7,67.5,27
moby,moby,2025-11-01,167,151,0.904,4,38,22
moby,moby,2025-12-01,131,105,0.802,9,27,29
moby,moby,2026-01-01,145,111,0.766,12,29,24
moby,moby,2026-02-01,123,92,0.748,28.5,30,24
moby,moby,2026-03-01,126,101,0.802,19,32,30
moby,moby,2026-04-01,186,129,0.694,20,36,27
moby,moby,2026-05-01,161,100,0.621,24,32,32
moby,moby,2026-06-01,198,135,0.682,6,32,40
moby,moby,2026-07-01,225,161,0.716,19,39,34
moby,mobywebsite,2023-11-01,2,2,1.000,0.5,495.5,1
moby,patternmatcher,2024-08-01,1,0,0.000,,225,1
moby,patternmatcher,2024-09-01,3,0,0.000,,10,1
moby,patternmatcher,2026-03-01,3,2,0.667,11,63,1
moby,policy-helpers,2025-10-01,3,3,1.000,12,22,1
moby,policy-helpers,2025-11-01,8,8,1.000,21,167,1
moby,policy-helpers,2025-12-01,2,2,1.000,20.5,330.5,1
moby,policy-helpers,2026-01-01,7,4,0.571,268.5,102,3
moby,policy-helpers,2026-02-01,3,3,1.000,2,36,2
moby,policy-helpers,2026-03-01,3,2,0.667,54,95,2
moby,policy-helpers,2026-05-01,2,2,1.000,0,11401.5,1
moby,policy-helpers,2026-06-01,3,2,0.667,10,263,3
moby,policy-helpers,2026-07-01,1,1,1.000,0,2709,1
moby,profiles,2025-07-01,2,1,0.500,4986,191.5,2
moby,profiles,2025-08-01,1,0,0.000,,0,1
moby,profiles,2025-10-01,3,1,0.333,4590,10,3
moby,profiles,2025-12-01,1,1,1.000,1323,20,1
moby,profiles,2026-02-01,4,4,1.000,227,7.5,1
moby,profiles,2026-03-01,1,1,1.000,680,24,1
moby,profiles,2026-04-01,8,8,1.000,7,71.5,3
moby,profiles,2026-05-01,3,2,0.667,10,18,2
moby,profiles,2026-06-01,7,5,0.714,18,10,3
moby,profiles,2026-07-01,5,4,0.800,382.5,23,3
moby,pubsub,2026-03-01,3,0,0.000,,26,1
moby,spdystream,2024-01-01,3,1,0.333,3774,2,1
moby,spdystream,2024-06-01,5,5,1.000,22,18,3
moby,spdystream,2026-03-01,4,2,0.500,7.5,101,2
moby,spdystream,2026-04-01,2,1,0.500,0,4,2
moby,spdystream,2026-06-01,1,0,0.000,,187,1
moby,swarmkit,2023-08-01,5,4,0.800,128.5,533,2
moby,swarmkit,2023-09-01,2,1,0.500,68,11039,2
moby,swarmkit,2023-11-01,2,1,0.500,218,36629.5,1
moby,swarmkit,2023-12-01,1,0,0.000,,8,1
moby,swarmkit,2024-01-01,2,1,0.500,138,190.5,2
moby,swarmkit,2024-02-01,6,6,1.000,78.5,2223.5,1
moby,swarmkit,2024-03-01,1,1,1.000,619,102,1
moby,swarmkit,2024-04-01,1,1,1.000,28,886,1
moby,swarmkit,2024-05-01,1,1,1.000,3212,10,1
moby,swarmkit,2024-06-01,3,1,0.333,144,481,3
moby,swarmkit,2024-09-01,2,1,0.500,941,204.5,1
moby,swarmkit,2024-10-01,1,1,1.000,126,9087,1
moby,swarmkit,2024-11-01,1,0,0.000,,813,1
moby,swarmkit,2025-01-01,1,1,1.000,0,8,1
moby,swarmkit,2025-03-01,3,0,0.000,,33,2
moby,swarmkit,2025-05-01,1,1,1.000,381,319,1
moby,swarmkit,2025-06-01,4,0,0.000,,2274,2
moby,swarmkit,2025-07-01,1,0,0.000,,375,1
moby,swarmkit,2025-08-01,3,2,0.667,22,150,2
moby,swarmkit,2025-09-01,1,1,1.000,40,544,1
moby,swarmkit,2025-10-01,1,1,1.000,23,14,1
moby,swarmkit,2025-11-01,10,6,0.600,18,161,6
moby,swarmkit,2025-12-01,1,0,0.000,,127,1
moby,swarmkit,2026-04-01,2,2,1.000,204,35,2
moby,swarmkit,2026-05-01,3,3,1.000,284,6,3
moby,swarmkit,2026-06-01,11,6,0.545,3.5,753,4
moby,swarmkit,2026-07-01,26,11,0.423,5,41,5
moby,sys,2023-08-01,4,2,0.500,4637,44,3
moby,sys,2023-09-01,3,2,0.667,19,1344,1
moby,sys,2023-11-01,1,1,1.000,21,8,1
moby,sys,2024-07-01,7,6,0.857,137,102,2
moby,sys,2024-08-01,3,3,1.000,856,30,2
moby,sys,2024-09-01,14,12,0.857,121.5,40.5,2
moby,sys,2024-10-01,10,8,0.800,78.5,30,3
moby,sys,2024-11-01,1,1,1.000,111,38,1
moby,sys,2024-12-01,2,2,1.000,10,106,1
moby,sys,2025-01-01,1,1,1.000,1151,695,1
moby,sys,2025-03-01,1,0,0.000,,6,1
moby,sys,2025-04-01,5,4,0.800,64.5,37,3
moby,sys,2025-06-01,5,5,1.000,18,61,1
moby,sys,2025-08-01,4,3,0.750,23,15.5,2
moby,sys,2025-09-01,2,0,0.000,,324,2
moby,sys,2026-03-01,11,8,0.727,1115,134,3
moby,sys,2026-04-01,3,2,0.667,585,175,2
moby,sys,2026-05-01,2,2,1.000,377.5,92,2
moby,sys,2026-06-01,9,7,0.778,2,42,1
moby,sys,2026-07-01,8,6,0.750,87,18,4
moby,term,2025-01-01,3,3,1.000,3,48,1
moby,term,2025-08-01,1,0,0.000,,84,1
moby,term,2026-01-01,2,2,1.000,6.5,26,1
moby,term,2026-02-01,4,4,1.000,9,9,1
moby,term,2026-04-01,1,1,1.000,326,89,1
moby,vpnkit,2023-10-01,1,0,0.000,,22206,1
moby,vpnkit,2024-01-01,1,0,0.000,,23466,1
moby,vpnkit,2024-04-01,1,0,0.000,,6,1
moby,vpnkit,2024-08-01,2,2,1.000,25.5,37.5,2
moby,vpnkit,2024-10-01,1,0,0.000,,57,1
moby,vpnkit,2024-11-01,1,1,1.000,3204,100,1
moby,vpnkit,2025-02-01,1,0,0.000,,1652,1
moby,vpnkit,2025-04-01,2,2,1.000,60,33.5,1
moby,vpnkit,2025-06-01,1,1,1.000,175,4,1
moby,vpnkit,2025-07-01,2,2,1.000,25,26,1
moby,vpnkit,2025-11-01,1,0,0.000,,2646,1
moby,vpnkit,2025-12-01,2,1,0.500,148,21740.5,2
moby,vpnkit,2026-03-01,5,5,1.000,1385,12,1
moby,vpnkit,2026-04-01,1,1,1.000,882,2,1
moby,vpnkit,2026-05-01,12,12,1.000,0,21.5,2
moby,vpnkit,2026-06-01,7,6,0.857,0,28,3
pantsbuild,actions,2023-08-01,1,1,1.000,3,8,1
pantsbuild,actions,2023-11-01,1,1,1.000,25,10,1
pantsbuild,actions,2024-01-01,1,1,1.000,19,8,1
pantsbuild,actions,2024-02-01,1,1,1.000,8,2,1
pantsbuild,actions,2024-05-01,1,1,1.000,4,61,1
pantsbuild,actions,2024-11-01,1,1,1.000,2,19,1
pantsbuild,actions,2025-03-01,1,1,1.000,13,30,1
pantsbuild,actions,2025-04-01,1,1,1.000,43,11,1
pantsbuild,actions,2025-05-01,3,3,1.000,9,4,1
pantsbuild,actions,2025-11-01,1,0,0.000,,12,1
pantsbuild,actions,2025-12-01,2,2,1.000,276.5,11,2
pantsbuild,actions,2026-01-01,1,1,1.000,1383,8,1
pantsbuild,actions,2026-02-01,1,1,1.000,838,15,1
pantsbuild,actions,2026-04-01,1,0,0.000,,214,1
pantsbuild,actions,2026-05-01,1,0,0.000,,2,1
pantsbuild,actions,2026-06-01,1,1,1.000,5,4,1
pantsbuild,actions,2026-07-01,2,0,0.000,,9,1
pantsbuild,example-adhoc,2023-08-01,1,1,1.000,5,719,1
pantsbuild,example-adhoc,2023-11-01,1,1,1.000,4,2,1
pantsbuild,example-adhoc,2024-01-01,1,0,0.000,,2,1
pantsbuild,example-adhoc,2024-04-01,1,1,1.000,0,2,1
pantsbuild,example-adhoc,2024-05-01,1,1,1.000,0,2,1
pantsbuild,example-adhoc,2024-11-01,1,1,1.000,6,27,1
pantsbuild,example-adhoc,2025-01-01,3,1,0.333,5,2,1
pantsbuild,example-adhoc,2025-02-01,1,1,1.000,18,4,1
pantsbuild,example-adhoc,2025-05-01,1,1,1.000,3,2,1
pantsbuild,example-adhoc,2025-10-01,2,2,1.000,11.5,2,2
pantsbuild,example-adhoc,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-codegen,2023-09-01,2,2,1.000,6.5,163.5,2
pantsbuild,example-codegen,2023-11-01,1,1,1.000,2,2,1
pantsbuild,example-codegen,2024-04-01,1,1,1.000,0,2,1
pantsbuild,example-codegen,2024-06-01,2,2,1.000,29,3.5,2
pantsbuild,example-codegen,2024-11-01,1,1,1.000,2,10,1
pantsbuild,example-codegen,2025-01-01,1,1,1.000,6,2,1
pantsbuild,example-codegen,2025-02-01,1,1,1.000,18,4,1
pantsbuild,example-codegen,2025-03-01,1,1,1.000,4,2,1
pantsbuild,example-codegen,2025-05-01,1,1,1.000,3,2,1
pantsbuild,example-codegen,2025-10-01,2,2,1.000,11.5,34,2
pantsbuild,example-codegen,2026-02-01,1,1,1.000,11,67,1
pantsbuild,example-django,2023-09-01,1,1,1.000,44,1378,1
pantsbuild,example-django,2023-11-01,1,1,1.000,0,2,1
pantsbuild,example-django,2024-04-01,1,1,1.000,0,2,1
pantsbuild,example-django,2024-05-01,1,1,1.000,0,2,1
pantsbuild,example-django,2024-06-01,1,1,1.000,0,4,1
pantsbuild,example-django,2024-11-01,1,1,1.000,2,10,1
pantsbuild,example-django,2025-01-01,2,1,0.500,6,2,1
pantsbuild,example-django,2025-02-01,1,1,1.000,18,4,1
pantsbuild,example-django,2025-03-01,1,1,1.000,4,2,1
pantsbuild,example-django,2025-05-01,1,1,1.000,3,2,1
pantsbuild,example-django,2025-10-01,2,2,1.000,11.5,415.5,2
pantsbuild,example-django,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-docker,2023-09-01,1,1,1.000,96,232,1
pantsbuild,example-docker,2023-10-01,1,1,1.000,4766,66,1
pantsbuild,example-docker,2023-11-01,1,1,1.000,2,2,1
pantsbuild,example-docker,2024-04-01,1,1,1.000,0,2,1
pantsbuild,example-docker,2024-06-01,4,3,0.750,3,6,2
pantsbuild,example-docker,2024-11-01,1,1,1.000,2,6,1
pantsbuild,example-docker,2025-01-01,2,1,0.500,6,2,1
pantsbuild,example-docker,2025-02-01,1,1,1.000,18,4,1
pantsbuild,example-docker,2025-03-01,1,1,1.000,5,2,1
pantsbuild,example-docker,2025-04-01,1,1,1.000,4,2,1
pantsbuild,example-docker,2025-05-01,2,0,0.000,,1.5,1
pantsbuild,example-docker,2025-10-01,3,2,0.667,27.5,2,2
pantsbuild,example-docker,2026-02-01,1,1,1.000,11,14,1
pantsbuild,example-golang,2023-09-01,1,1,1.000,16,225,1
pantsbuild,example-golang,2023-11-01,1,1,1.000,0,2,1
pantsbuild,example-golang,2024-04-01,1,1,1.000,4,2,1
pantsbuild,example-golang,2024-06-01,2,2,1.000,29,3,2
pantsbuild,example-golang,2024-11-01,1,1,1.000,2,10,1
pantsbuild,example-golang,2025-01-01,2,1,0.500,274,2,1
pantsbuild,example-golang,2025-02-01,1,1,1.000,18,4,1
pantsbuild,example-golang,2025-03-01,1,1,1.000,6,2,1
pantsbuild,example-golang,2025-05-01,1,1,1.000,70,2,1
pantsbuild,example-golang,2025-10-01,3,2,0.667,160.5,2,3
pantsbuild,example-golang,2025-11-01,1,0,0.000,,63,1
pantsbuild,example-golang,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-javascript,2023-09-01,2,2,1.000,0,30,1
pantsbuild,example-javascript,2023-11-01,1,1,1.000,2,9,1
pantsbuild,example-javascript,2024-03-01,1,1,1.000,105,7064,1
pantsbuild,example-javascript,2024-04-01,1,1,1.000,8,2,1
pantsbuild,example-javascript,2024-05-01,1,1,1.000,0,2,1
pantsbuild,example-javascript,2024-06-01,1,1,1.000,0,4,1
pantsbuild,example-javascript,2024-11-01,1,1,1.000,2,10,1
pantsbuild,example-javascript,2025-01-01,1,1,1.000,292,2,1
pantsbuild,example-javascript,2025-02-01,1,1,1.000,18,4,1
pantsbuild,example-javascript,2025-03-01,1,1,1.000,6,2,1
pantsbuild,example-javascript,2025-05-01,1,1,1.000,70,2,1
pantsbuild,example-javascript,2025-10-01,2,1,0.500,19,2,2
pantsbuild,example-javascript,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-jvm,2023-09-01,1,1,1.000,89,225,1
pantsbuild,example-jvm,2023-11-01,1,1,1.000,1,4,1
pantsbuild,example-jvm,2024-04-01,1,1,1.000,10,2,1
pantsbuild,example-jvm,2024-05-01,2,1,0.500,0,366.5,2
pantsbuild,example-jvm,2024-06-01,1,1,1.000,0,4,1
pantsbuild,example-jvm,2024-11-01,1,1,1.000,2,10,1
pantsbuild,example-jvm,2025-01-01,2,1,0.500,6,2,1
pantsbuild,example-jvm,2025-02-01,1,1,1.000,18,4,1
pantsbuild,example-jvm,2025-03-01,1,1,1.000,3,2,1
pantsbuild,example-jvm,2025-05-01,1,1,1.000,3,2,1
pantsbuild,example-jvm,2025-10-01,2,2,1.000,11.5,2,2
pantsbuild,example-jvm,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-kotlin,2023-09-01,1,1,1.000,96,225,1
pantsbuild,example-kotlin,2023-11-01,1,0,0.000,,2,1
pantsbuild,example-kotlin,2023-12-01,1,1,1.000,5,4,1
pantsbuild,example-kotlin,2024-04-01,1,1,1.000,10,2,1
pantsbuild,example-kotlin,2024-05-01,1,1,1.000,0,2,1
pantsbuild,example-kotlin,2024-06-01,1,1,1.000,0,4,1
pantsbuild,example-kotlin,2024-11-01,1,1,1.000,2,10,1
pantsbuild,example-kotlin,2025-01-01,1,1,1.000,274,7,1
pantsbuild,example-kotlin,2025-02-01,1,1,1.000,18,4,1
pantsbuild,example-kotlin,2025-03-01,1,1,1.000,3,2,1
pantsbuild,example-kotlin,2025-05-01,1,1,1.000,3,2,1
pantsbuild,example-kotlin,2025-10-01,2,2,1.000,11.5,2,2
pantsbuild,example-kotlin,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-python,2023-08-01,2,2,1.000,8,114.5,1
pantsbuild,example-python,2023-09-01,1,0,0.000,,437,1
pantsbuild,example-python,2023-11-01,1,1,1.000,4,2,1
pantsbuild,example-python,2024-02-01,1,1,1.000,3,84,1
pantsbuild,example-python,2024-03-01,1,1,1.000,9,2,1
pantsbuild,example-python,2024-04-01,1,1,1.000,8,2,1
pantsbuild,example-python,2024-05-01,2,2,1.000,15.5,4,2
pantsbuild,example-python,2024-06-01,1,1,1.000,0,4,1
pantsbuild,example-python,2024-10-01,1,1,1.000,13,18,1
pantsbuild,example-python,2024-11-01,2,1,0.500,2,10.5,2
pantsbuild,example-python,2024-12-01,1,1,1.000,16,4,1
pantsbuild,example-python,2025-01-01,1,1,1.000,97,2,1
pantsbuild,example-python,2025-02-01,1,1,1.000,19,4,1
pantsbuild,example-python,2025-03-01,2,2,1.000,14,2,2
pantsbuild,example-python,2025-05-01,2,1,0.500,3,132.5,2
pantsbuild,example-python,2025-10-01,2,2,1.000,65,99,2
pantsbuild,example-python,2026-01-01,1,0,0.000,,33,1
pantsbuild,example-python,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-python,2026-04-01,1,0,0.000,,2,1
pantsbuild,example-serverless,2023-12-01,1,1,1.000,487,419,1
pantsbuild,example-serverless,2024-04-01,1,1,1.000,0,2,1
pantsbuild,example-serverless,2024-05-01,2,2,1.000,51,330.5,2
pantsbuild,example-serverless,2024-11-01,1,1,1.000,2,2,1
pantsbuild,example-serverless,2025-01-01,2,1,0.500,6,2,1
pantsbuild,example-serverless,2025-03-01,1,1,1.000,3,2,1
pantsbuild,example-serverless,2025-05-01,1,1,1.000,3,2,1
pantsbuild,example-serverless,2025-10-01,2,2,1.000,11.5,2,2
pantsbuild,example-serverless,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-visibility,2023-09-01,1,1,1.000,17,233,1
pantsbuild,example-visibility,2023-11-01,1,1,1.000,0,7,1
pantsbuild,example-visibility,2024-04-01,1,1,1.000,13,2,1
pantsbuild,example-visibility,2024-05-01,1,1,1.000,1,2,1
pantsbuild,example-visibility,2024-06-01,1,1,1.000,0,4,1
pantsbuild,example-visibility,2024-11-01,1,1,1.000,2,6,1
pantsbuild,example-visibility,2025-01-01,1,1,1.000,6,2,1
pantsbuild,example-visibility,2025-02-01,1,1,1.000,1,4,1
pantsbuild,example-visibility,2025-03-01,1,1,1.000,3,2,1
pantsbuild,example-visibility,2025-05-01,1,1,1.000,3,2,1
pantsbuild,example-visibility,2025-10-01,2,2,1.000,11.5,2,2
pantsbuild,example-visibility,2026-02-01,1,1,1.000,11,2,1
pantsbuild,example-visibility,2026-03-01,1,1,1.000,4,2,1
pantsbuild,example-workspace-execution,2024-11-01,1,1,1.000,238,265,1
pantsbuild,example-workspace-execution,2024-12-01,1,1,1.000,20,71,1
pantsbuild,example-workspace-execution,2025-10-01,2,2,1.000,3.5,2,2
pantsbuild,example-workspace-execution,2026-02-01,1,1,1.000,11,2,1
pantsbuild,homebrew-tap,2025-11-01,2,1,0.500,18,2,1
pantsbuild,homebrew-tap,2026-04-01,1,1,1.000,107,243,1
pantsbuild,homebrew-tap,2026-06-01,3,1,0.333,2,6,2
pantsbuild,pants,2023-08-01,170,160,0.941,5,14.5,22
pantsbuild,pants,2023-09-01,160,146,0.913,11,26.5,22
pantsbuild,pants,2023-10-01,133,115,0.865,28,14,22
pantsbuild,pants,2023-11-01,81,76,0.938,20.5,14,21
pantsbuild,pants,2023-12-01,74,69,0.932,29,41,20
pantsbuild,pants,2024-01-01,87,74,0.851,16,32,21
pantsbuild,pants,2024-02-01,110,99,0.900,23,31.5,28
pantsbuild,pants,2024-03-01,66,62,0.939,22.5,16,22
pantsbuild,pants,2024-04-01,90,83,0.922,27,29,25
pantsbuild,pants,2024-05-01,84,71,0.845,18,30,23
pantsbuild,pants,2024-06-01,88,75,0.852,34,62,18
pantsbuild,pants,2024-07-01,86,79,0.919,48,75,17
pantsbuild,pants,2024-08-01,94,86,0.915,22.5,46,19
pantsbuild,pants,2024-09-01,62,60,0.968,25,38.5,13
pantsbuild,pants,2024-10-01,112,102,0.911,7,17.5,17
pantsbuild,pants,2024-11-01,72,66,0.917,22,51.5,14
pantsbuild,pants,2024-12-01,75,64,0.853,25.5,32,14
pantsbuild,pants,2025-01-01,80,72,0.900,18.5,53,13
pantsbuild,pants,2025-02-01,99,89,0.899,8,36,15
pantsbuild,pants,2025-03-01,107,100,0.935,4.5,32,19
pantsbuild,pants,2025-04-01,52,43,0.827,23,27,14
pantsbuild,pants,2025-05-01,131,121,0.924,2,80,16
pantsbuild,pants,2025-06-01,50,45,0.900,14,63,12
pantsbuild,pants,2025-07-01,95,82,0.863,10,34,18
pantsbuild,pants,2025-08-01,36,33,0.917,21,42.5,10
pantsbuild,pants,2025-09-01,108,98,0.907,14.5,27.5,11
pantsbuild,pants,2025-10-01,101,79,0.782,26,28,15
pantsbuild,pants,2025-11-01,68,52,0.765,11,71,14
pantsbuild,pants,2025-12-01,32,20,0.625,11,30,13
pantsbuild,pants,2026-01-01,72,51,0.708,33,62,15
pantsbuild,pants,2026-02-01,72,59,0.819,19,38,11
pantsbuild,pants,2026-03-01,45,33,0.733,20,36,14
pantsbuild,pants,2026-04-01,85,66,0.776,23.5,62,23
pantsbuild,pants,2026-05-01,74,65,0.878,12,103.5,17
pantsbuild,pants,2026-06-01,55,38,0.691,74.5,182,21
pantsbuild,pants,2026-07-01,117,85,0.726,17,117,17
pantsbuild,pantsbuild.org,2023-12-01,15,9,0.600,13,1319,3
pantsbuild,pantsbuild.org,2024-01-01,72,58,0.806,9.5,83,9
pantsbuild,pantsbuild.org,2024-02-01,18,12,0.667,9.5,23,7
pantsbuild,pantsbuild.org,2024-03-01,16,14,0.875,4,1378,5
pantsbuild,pantsbuild.org,2024-04-01,15,11,0.733,2,1445,4
pantsbuild,pantsbuild.org,2024-05-01,16,15,0.938,1,1500.5,6
pantsbuild,pantsbuild.org,2024-06-01,9,8,0.889,24,710,4
pantsbuild,pantsbuild.org,2024-07-01,13,11,0.846,5,1460,5
pantsbuild,pantsbuild.org,2024-08-01,13,11,0.846,2,69,4
pantsbuild,pantsbuild.org,2024-09-01,11,10,0.909,6,136,4
pantsbuild,pantsbuild.org,2024-10-01,14,14,1.000,5,106.5,5
pantsbuild,pantsbuild.org,2024-11-01,13,10,0.769,8,154,3
pantsbuild,pantsbuild.org,2024-12-01,8,7,0.875,6,178.5,3
pantsbuild,pantsbuild.org,2025-01-01,10,8,0.800,10.5,138,3
pantsbuild,pantsbuild.org,2025-02-01,18,14,0.778,1,176,2
pantsbuild,pantsbuild.org,2025-03-01,19,17,0.895,0,156,4
pantsbuild,pantsbuild.org,2025-04-01,5,5,1.000,2,146,2
pantsbuild,pantsbuild.org,2025-05-01,10,10,1.000,17.5,146,3
pantsbuild,pantsbuild.org,2025-06-01,13,12,0.923,1,146,4
pantsbuild,pantsbuild.org,2025-07-01,13,11,0.846,2,130,3
pantsbuild,pantsbuild.org,2025-08-01,3,3,1.000,4,246,2
pantsbuild,pantsbuild.org,2025-09-01,10,10,1.000,9,367.5,4
pantsbuild,pantsbuild.org,2025-10-01,16,8,0.500,16,171,5
pantsbuild,pantsbuild.org,2025-11-01,19,10,0.526,11.5,170,5
pantsbuild,pantsbuild.org,2025-12-01,12,8,0.667,4.5,1136.5,4
pantsbuild,pantsbuild.org,2026-01-01,14,8,0.571,37.5,448.5,4
pantsbuild,pantsbuild.org,2026-02-01,11,7,0.636,13,146,6
pantsbuild,pantsbuild.org,2026-03-01,2,1,0.500,22,11,2
